spore,metric,unit,paper_metrics
min_bat/spore_2,transport_electrification,percentage,99.12001348307862
min_bat/spore_2,heat_electrification,percentage,8.96495131108075
min_bat/spore_2,storage_discharge_capacity,tw,2.8129423888181284
min_bat/spore_2,average_national_import,twh,7.045391627503978
min_bat/spore_3,electricity_production_gini,fraction,0.5879577133255964
min_bat/spore_3,transport_electrification,percentage,99.12001348307862
min_bat/spore_3,heat_electrification,percentage,8.96495131108075
min_bat/spore_3,storage_discharge_capacity,tw,2.8129423888181284
min_bat/spore_3,average_national_import,twh,7.045391627503978
min_bat/spore_4,electricity_production_gini,fraction,0.5879577133255964
min_bat/spore_4,transport_electrification,percentage,99.12001348307862
min_bat/spore_4,heat_electrification,percentage,8.96495131108075
min_bat/spore_4,storage_discharge_capacity,tw,2.8129423888181284
min_bat/spore_4,average_national_import,twh,7.045391627503978
min_bat/spore_5,electricity_production_gini,fraction,0.5879577133255964
min_bat/spore_5,transport_electrification,percentage,99.12001348307862
min_bat/spore_5,heat_electrification,percentage,8.96495131108075
min_bat/spore_5,storage_discharge_capacity,tw,2.8129423888181284
min_bat/spore_5,average_national_import,twh,7.045391627503978
min_bio/spore_0,electricity_production_gini,fraction,0.6264639416955756
min_bio/spore_0,transport_electrification,percentage,99.99497087126637
min_bio/spore_0,heat_electrification,percentage,3.9736370739731575
min_bio/spore_0,storage_discharge_capacity,tw,0.027573473402344235
min_bio/spore_0,average_national_import,twh,8.103492353451553
min_bio/spore_1,electricity_production_gini,fraction,0.5745190866770238
min_bio/spore_1,transport_electrification,percentage,99.13259690768415
min_bio/spore_1,heat_electrification,percentage,10.869850349259321
min_bio/spore_1,storage_discharge_capacity,tw,2.4061113969325048
min_bio/spore_1,average_national_import,twh,6.920353871288934
min_bio/spore_2,electricity_production_gini,fraction,0.5745190866770238
min_bio/spore_2,transport_electrification,percentage,99.13259690768415
min_bio/spore_2,heat_electrification,percentage,10.869850349259321
min_bio/spore_2,storage_discharge_capacity,tw,2.4061113969325048
min_bio/spore_2,average_national_import,twh,6.920353871288934
min_bio/spore_3,electricity_production_gini,fraction,0.5745190866770238
min_bio/spore_3,transport_electrification,percentage,99.13259690768415
min_bio/spore_3,heat_electrification,percentage,10.869850349259321
min_bio/spore_3,storage_discharge_capacity,tw,2.4061113969325048
min_bio/spore_3,average_national_import,twh,6.920353871288934
min_bio/spore_4,electricity_production_gini,fraction,0.5745190866770238
min_bio/spore_4,transport_electrification,percentage,99.13259690768415
min_bio/spore_4,heat_electrification,percentage,10.869850349259321
min_bio/spore_4,storage_discharge_capacity,tw,2.4061113969325048
min_bio/spore_4,average_national_import,twh,6.920353871288934
min_bio/spore_5,electricity_production_gini,fraction,0.5745190866770238
min_bio/spore_5,transport_electrification,percentage,99.13259690768415
min_bio/spore_5,heat_electrification,percentage,10.869850349259321
min_bio/spore_5,storage_discharge_capacity,tw,2.4061113969325048
min_bio/spore_5,average_national_import,twh,6.920353871288934
min_p2g/spore_0,electricity_production_gini,fraction,0.6268254477255376
min_p2g/spore_0,transport_electrification,percentage,99.99953532505653
min_p2g/spore_0,heat_electrification,percentage,3.9299300430106023
min_p2g/spore_0,storage_discharge_capacity,tw,0.011054055722245321
min_p2g/spore_0,average_national_import,twh,8.090472533996676
min_p2g/spore_1,electricity_production_gini,fraction,0.596376897459248
min_p2g/spore_1,transport_electrification,percentage,99.0540329632533
min_p2g/spore_1,heat_electrification,percentage,9.87173774966418
min_p2g/spore_1,storage_discharge_capacity,tw,2.9965020785784207
min_p2g/spore_1,average_national_import,twh,7.197644870130279
min_p2g/spore_2,electricity_production_gini,fraction,0.596376897459248
min_p2g/spore_2,transport_electrification,percentage,99.0540329632533
min_p2g/spore_2,heat_electrification,percentage,9.87173774966418
min_p2g/spore_2,storage_discharge_capacity,tw,2.9965020785784207
min_p2g/spore_2,average_national_import,twh,7.197644870130279
min_p2g/spore_3,electricity_production_gini,fraction,0.596376897459248
min_p2g/spore_3,transport_electrification,percentage,99.0540329632533
min_p2g/spore_3,heat_electrification,percentage,9.87173774966418
min_p2g/spore_3,storage_discharge_capacity,tw,2.9965020785784207
min_p2g/spore_3,average_national_import,twh,7.197644870130279
min_p2g/spore_4,electricity_production_gini,fraction,0.596376897459248
min_p2g/spore_4,transport_electrification,percentage,99.0540329632533
min_p2g/spore_4,heat_electrification,percentage,9.87173774966418
min_p2g/spore_4,storage_discharge_capacity,tw,2.9965020785784207
min_p2g/spore_4,average_national_import,twh,7.197644870130279
min_p2g/spore_5,electricity_production_gini,fraction,0.596376897459248
min_p2g/spore_5,transport_electrification,percentage,99.0540329632533
min_p2g/spore_5,heat_electrification,percentage,9.87173774966418
min_p2g/spore_5,storage_discharge_capacity,tw,2.9965020785784207
min_p2g/spore_5,average_national_import,twh,7.197644870130279
min_pvfarm/spore_0,electricity_production_gini,fraction,0.6268254477255376
min_pvfarm/spore_0,transport_electrification,percentage,99.99953532505653
min_pvfarm/spore_0,heat_electrification,percentage,3.9299300430106023
min_pvfarm/spore_0,storage_discharge_capacity,tw,0.011054055722245321
min_pvfarm/spore_0,average_national_import,twh,8.090472533996676
min_pvfarm/spore_1,electricity_production_gini,fraction,0.607752009280181
min_pvfarm/spore_1,transport_electrification,percentage,99.55445390414103
min_pvfarm/spore_1,heat_electrification,percentage,6.307769010689208
min_pvfarm/spore_1,storage_discharge_capacity,tw,1.3168618883067587
min_pvfarm/spore_1,average_national_import,twh,11.138615498300679
min_pvfarm/spore_2,electricity_production_gini,fraction,0.607752009280181
min_pvfarm/spore_2,transport_electrification,percentage,99.55445390414103
min_pvfarm/spore_2,heat_electrification,percentage,6.307769010689208
min_pvfarm/spore_2,storage_discharge_capacity,tw,1.3168618883067587
min_pvfarm/spore_2,average_national_import,twh,11.138615498300679
min_pvfarm/spore_3,electricity_production_gini,fraction,0.607752009280181
min_pvfarm/spore_3,transport_electrification,percentage,99.55445390414103
min_pvfarm/spore_3,heat_electrification,percentage,6.307769010689208
min_pvfarm/spore_3,storage_discharge_capacity,tw,1.3168618883067587
min_pvfarm/spore_3,average_national_import,twh,11.138615498300679
min_pvfarm/spore_4,electricity_production_gini,fraction,0.607752009280181
min_pvfarm/spore_4,transport_electrification,percentage,99.55445390414103
min_pvfarm/spore_4,heat_electrification,percentage,6.307769010689208
min_pvfarm/spore_4,storage_discharge_capacity,tw,1.3168618883067587
min_pvfarm/spore_4,average_national_import,twh,11.138615498300679
min_pvfarm/spore_5,electricity_production_gini,fraction,0.607752009280181
min_pvfarm/spore_5,transport_electrification,percentage,99.55445390414103
min_pvfarm/spore_5,heat_electrification,percentage,6.307769010689208
min_pvfarm/spore_5,storage_discharge_capacity,tw,1.3168618883067587
min_pvfarm/spore_5,average_national_import,twh,11.138615498300679
min_pvroof/spore_0,electricity_production_gini,fraction,0.6268254477255376
min_pvroof/spore_0,transport_electrification,percentage,99.99953532505653
min_pvroof/spore_0,heat_electrification,percentage,3.9299300430106023
min_pvroof/spore_0,storage_discharge_capacity,tw,0.011054055722245321
min_pvroof/spore_0,average_national_import,twh,8.090472533996676
min_pvroof/spore_1,electricity_production_gini,fraction,0.5854290903087802
min_pvroof/spore_1,transport_electrification,percentage,99.18607011437625
min_pvroof/spore_1,heat_electrification,percentage,9.10933912575197
min_pvroof/spore_1,storage_discharge_capacity,tw,2.784798806437968
min_pvroof/spore_1,average_national_import,twh,7.037643108476579
min_pvroof/spore_2,electricity_production_gini,fraction,0.5854290903087802
min_pvroof/spore_2,transport_electrification,percentage,99.18607011437625
min_pvroof/spore_2,heat_electrification,percentage,9.10933912575197
min_pvroof/spore_2,storage_discharge_capacity,tw,2.784798806437968
min_pvroof/spore_2,average_national_import,twh,7.037643108476579
min_pvroof/spore_3,electricity_production_gini,fraction,0.5854290903087802
min_pvroof/spore_3,transport_electrification,percentage,99.18607011437625
min_pvroof/spore_3,heat_electrification,percentage,9.10933912575197
min_pvroof/spore_3,storage_discharge_capacity,tw,2.784798806437968
min_pvroof/spore_3,average_national_import,twh,7.037643108476579
min_pvroof/spore_4,electricity_production_gini,fraction,0.5854290903087802
min_pvroof/spore_4,transport_electrification,percentage,99.18607011437625
min_pvroof/spore_4,heat_electrification,percentage,9.10933912575197
min_pvroof/spore_4,storage_discharge_capacity,tw,2.784798806437968
min_pvroof/spore_4,average_national_import,twh,7.037643108476579
min_pvroof/spore_5,electricity_production_gini,fraction,0.5854290903087802
min_pvroof/spore_5,transport_electrification,percentage,99.18607011437625
min_pvroof/spore_5,heat_electrification,percentage,9.10933912575197
min_pvroof/spore_5,storage_discharge_capacity,tw,2.784798806437968
min_pvroof/spore_5,average_national_import,twh,7.037643108476579
min_trn/spore_0,electricity_production_gini,fraction,0.6268254477255376
min_trn/spore_0,transport_electrification,percentage,99.99953532505653
min_trn/spore_0,heat_electrification,percentage,3.9299300430106023
min_trn/spore_0,storage_discharge_capacity,tw,0.011054055722245321
min_trn/spore_0,average_national_import,twh,8.090472533996676
min_trn/spore_1,electricity_production_gini,fraction,0.5876311354136824
min_trn/spore_1,transport_electrification,percentage,99.13468283208167
min_trn/spore_1,heat_electrification,percentage,8.837207762281068
min_trn/spore_1,storage_discharge_capacity,tw,2.8147059536231485
min_trn/spore_1,average_national_import,twh,6.996229370553508
min_trn/spore_2,electricity_production_gini,fraction,0.5876311354136824
min_trn/spore_2,transport_electrification,percentage,99.13468283208167
min_trn/spore_2,heat_electrification,percentage,8.837207762281068
min_trn/spore_2,storage_discharge_capacity,tw,2.8147059536231485
min_trn/spore_2,average_national_import,twh,6.996229370553508
min_trn/spore_3,electricity_production_gini,fraction,0.5876311354136824
min_trn/spore_3,transport_electrification,percentage,99.13468283208167
min_trn/spore_3,heat_electrification,percentage,8.837207762281068
min_trn/spore_3,storage_discharge_capacity,tw,2.8147059536231485
min_trn/spore_3,average_national_import,twh,6.996229370553508
min_trn/spore_4,electricity_production_gini,fraction,0.5876311354136824
min_trn/spore_4,transport_electrification,percentage,99.13468283208167
min_trn/spore_4,heat_electrification,percentage,8.837207762281068
min_trn/spore_4,storage_discharge_capacity,tw,2.8147059536231485
min_trn/spore_4,average_national_import,twh,6.996229370553508
min_trn/spore_5,electricity_production_gini,fraction,0.5876311354136824
min_trn/spore_5,transport_electrification,percentage,99.13468283208167
min_trn/spore_5,heat_electrification,percentage,8.837207762281068
min_trn/spore_5,storage_discharge_capacity,tw,2.8147059536231485
min_trn/spore_5,average_national_import,twh,6.996229370553508
min_wind/spore_0,electricity_production_gini,fraction,0.6268254477255376
