year,region,technology,carriers,spore,capacity_twh
2030,Bulgaria,Heat storage,heat,328,0.007691415279998522
2030,Bulgaria,Heat storage,heat,345,0.04612355585294783
2030,Bulgaria,Heat storage,heat,431,1.2169965797492905
2030,Bulgaria,Hydro storage,electricity,0,0.15451687513743478
2030,Bulgaria,Hydro storage,electricity,21,0.49082250326429716
2030,Bulgaria,Hydro storage,electricity,32,0.22668215103647135
2030,Bulgaria,Hydro storage,electricity,77,0.16561370459915756
2030,Bulgaria,Hydro storage,electricity,100,0.14098901717958146
2030,Bulgaria,Hydro storage,electricity,206,0.4333795837347704
2030,Bulgaria,Hydro storage,electricity,255,0.03478225241103233
2030,Bulgaria,Hydro storage,electricity,263,0.13771833340607476
2030,Bulgaria,Hydro storage,electricity,328,0.21168210674119756
2030,Bulgaria,Hydro storage,electricity,345,0.3236165631073537
2030,Bulgaria,Hydro storage,electricity,431,0.36397229371539896
2030,Bulgaria,Hydrogen storage,hydrogen,0,5.656487704875509e-06
2030,Bulgaria,Hydrogen storage,hydrogen,21,3.149217993939432e-06
2030,Bulgaria,Hydrogen storage,hydrogen,32,0.00021312536885348326
2030,Bulgaria,Hydrogen storage,hydrogen,77,2.596185244946399e-06
2030,Bulgaria,Hydrogen storage,hydrogen,100,0.0010076382174167005
2030,Bulgaria,Hydrogen storage,hydrogen,206,7.743272391684469e-08
2030,Bulgaria,Hydrogen storage,hydrogen,255,0.0
2030,Bulgaria,Hydrogen storage,hydrogen,263,1.0084277459041181e-05
2030,Bulgaria,Hydrogen storage,hydrogen,328,1.1944597877488733e-05
2030,Bulgaria,Hydrogen storage,hydrogen,345,0.0011418566915809476
2030,Bulgaria,Hydrogen storage,hydrogen,431,8.8000976158193e-06
2030,Bulgaria,Methane storage,methane,0,3.6784657117034234
2030,Bulgaria,Methane storage,methane,21,2.1900667649028454
2030,Bulgaria,Methane storage,methane,32,6.849266333493272
2030,Bulgaria,Methane storage,methane,77,5.110819715569326
2030,Bulgaria,Methane storage,methane,100,0.6761160620003936
2030,Bulgaria,Methane storage,methane,206,3.1998433298450286
2030,Bulgaria,Methane storage,methane,255,2.039269087342356
2030,Bulgaria,Methane storage,methane,263,3.7061721236965877
2030,Bulgaria,Methane storage,methane,328,6.219121962491738
2030,Bulgaria,Methane storage,methane,345,6.71196863823764
2030,Bulgaria,Methane storage,methane,431,3.0589880462838877
2030,Croatia,Battery storage,electricity,0,5.149324327187376e-06
2030,Croatia,Battery storage,electricity,21,2.6129823475493896e-06
2030,Croatia,Battery storage,electricity,32,8.862114652964948e-05
2030,Croatia,Battery storage,electricity,77,6.873111542788537e-07
2030,Croatia,Battery storage,electricity,100,0.0002472899293856998
2030,Croatia,Battery storage,electricity,206,7.994908567749015e-07
2030,Croatia,Battery storage,electricity,255,0.0
2030,Croatia,Battery storage,electricity,263,1.2355566273936645e-07
2030,Croatia,Battery storage,electricity,328,1.3093321504527584e-05
2030,Croatia,Battery storage,electricity,345,0.0004123678443534743
2030,Croatia,Battery storage,electricity,431,2.8283161417344852e-06
2030,Croatia,Heat storage,heat,0,0.00510653856029182
2030,Croatia,Heat storage,heat,21,0.010533518956487357
2030,Croatia,Heat storage,heat,32,0.09617198411581966
2030,Croatia,Heat storage,heat,77,0.015059064753793795
2030,Croatia,Heat storage,heat,100,0.011888966877105885
2030,Croatia,Heat storage,heat,206,0.003482002750115332
2030,Croatia,Heat storage,heat,255,0.0
2030,Croatia,Heat storage,heat,263,0.017314146316860433
2030,Croatia,Heat storage,heat,328,0.0052813430853575994
2030,Croatia,Heat storage,heat,345,0.08287923007533429
2030,Croatia,Heat storage,heat,431,0.03408825833210692
2030,Croatia,Hydro storage,electricity,0,0.21469933280857312
2030,Croatia,Hydro storage,electricity,21,0.3293674503110717
2030,Croatia,Hydro storage,electricity,32,0.22299216370678973
2030,Croatia,Hydro storage,electricity,77,0.4398566780049731
2030,Croatia,Hydro storage,electricity,100,0.40325404501443984
2030,Croatia,Hydro storage,electricity,206,0.030211273310812924
2030,Croatia,Hydro storage,electricity,255,0.46839243736283515
2030,Croatia,Hydro storage,electricity,263,0.2643438263561466
2030,Croatia,Hydro storage,electricity,328,0.4017828287965983
2030,Croatia,Hydro storage,electricity,345,0.3222248883949542
2030,Croatia,Hydro storage,electricity,431,0.18877591427256454
2030,Croatia,Hydrogen storage,hydrogen,0,1.2280861377583737e-05
