year,region,technology,spore,capacity_gw
2030,Bulgaria,Hydro,100,0.33143060754204096
2030,Bulgaria,Hydro,206,0.4365331745091173
2030,Bulgaria,Hydro,255,0.24036870853379833
2030,Bulgaria,Hydro,263,0.47623773750788034
2030,Bulgaria,Hydro,328,0.15890218223351832
2030,Bulgaria,Hydro,345,0.5445100602655093
2030,Bulgaria,Hydro,431,0.3036794593929076
2030,Bulgaria,Nuclear,0,0.5407502277275007
2030,Bulgaria,Nuclear,21,0.00011092694790506202
2030,Bulgaria,Nuclear,32,0.007142927282927664
2030,Bulgaria,Nuclear,77,0.00022788070620352775
2030,Bulgaria,Nuclear,100,0.006229813056452386
2030,Bulgaria,Nuclear,206,0.0
2030,Bulgaria,Nuclear,255,0.0
2030,Bulgaria,Nuclear,263,1.22932351042046
2030,Bulgaria,Nuclear,328,2.367745616326581e-05
2030,Bulgaria,Nuclear,345,0.0017577868226786668
2030,Bulgaria,Nuclear,431,0.0002891546258387735
2030,Bulgaria,Offshore wind,0,3.24679155834609e-05
2030,Bulgaria,Offshore wind,21,0.0
2030,Bulgaria,Offshore wind,32,0.035025782488665315
2030,Bulgaria,Offshore wind,77,0.007105349424803053
2030,Bulgaria,Offshore wind,100,0.07131962728248131
2030,Bulgaria,Offshore wind,206,0.0
2030,Bulgaria,Offshore wind,255,0.0
2030,Bulgaria,Offshore wind,263,0.0
2030,Bulgaria,Offshore wind,328,0.0006235284090706584
2030,Bulgaria,Offshore wind,345,0.17309896283808773
2030,Bulgaria,Offshore wind,431,0.0009600818543401758
2030,Bulgaria,Onshore wind,0,16.703856798170463
2030,Bulgaria,Onshore wind,21,0.0008691888279380321
2030,Bulgaria,Onshore wind,32,0.31688930310047037
2030,Bulgaria,Onshore wind,77,0.00353672904832097
2030,Bulgaria,Onshore wind,100,0.10981295576447712
2030,Bulgaria,Onshore wind,206,3.854307411497807
2030,Bulgaria,Onshore wind,255,12.93040683524626
2030,Bulgaria,Onshore wind,263,6.34918077843398e-06
2030,Bulgaria,Onshore wind,328,0.016436259009669704
2030,Bulgaria,Onshore wind,345,4.2066430426778325
2030,Bulgaria,Onshore wind,431,0.0010666774407027985
2030,Bulgaria,PV,0,0.0003043228745055045
