year,region,technology,spore,capacity_gw
2030,Croatia,Heat pump,255,0.9355574530998804
2030,Croatia,Heat pump,263,1.313934968992986
2030,Croatia,Heat pump,328,4.402095006123625
2030,Croatia,Heat pump,345,0.5889641265545412
2030,Croatia,Heat pump,431,0.11079565041570283
2030,Cyprus,Boiler,0,0.0008946944032285582
2030,Cyprus,Boiler,21,2.182370047964414e-05
2030,Cyprus,Boiler,32,0.036465705176209666
2030,Cyprus,Boiler,77,0.0005060445323543396
2030,Cyprus,Boiler,100,0.23670019739942275
2030,Cyprus,Boiler,206,0.0
2030,Cyprus,Boiler,255,0.008704430963846122
2030,Cyprus,Boiler,263,2.9744109597869488e-05
2030,Cyprus,Boiler,328,0.0014649857323117464
2030,Cyprus,Boiler,345,0.02531084097456736
2030,Cyprus,Boiler,431,0.36295693808417634
2030,Cyprus,CHP,0,0.0002101261340946755
2030,Cyprus,CHP,21,0.00019992176448425822
2030,Cyprus,CHP,32,0.00754405952446667
2030,Cyprus,CHP,77,0.00015236659616166834
2030,Cyprus,CHP,100,0.019754573603009362
2030,Cyprus,CHP,206,0.0
2030,Cyprus,CHP,255,0.0
2030,Cyprus,CHP,263,0.0
2030,Cyprus,CHP,328,0.0001543005674621334
2030,Cyprus,CHP,345,0.02319695247507025
2030,Cyprus,CHP,431,0.0017196897884266867
2030,Cyprus,Electric heater,0,0.00035146608044228227
2030,Cyprus,Electric heater,21,0.0
2030,Cyprus,Electric heater,32,0.01800076814052377
2030,Cyprus,Electric heater,77,7.170957329344767e-05
2030,Cyprus,Electric heater,100,0.0
2030,Cyprus,Electric heater,206,0.0
2030,Cyprus,Electric heater,255,0.00010579925302400226
2030,Cyprus,Electric heater,263,0.0
2030,Cyprus,Electric heater,328,0.0011251148005669907
2030,Cyprus,Electric heater,345,0.04325092861276935
2030,Cyprus,Electric heater,431,0.002393107669023672
2030,Cyprus,Heat pump,0,0.16712522949221734
2030,Cyprus,Heat pump,21,0.25165018503462494
2030,Cyprus,Heat pump,32,0.1953436908662728
2030,Cyprus,Heat pump,77,0.017064874267407406
2030,Cyprus,Heat pump,100,0.0
2030,Cyprus,Heat pump,206,0.3070421492026222
2030,Cyprus,Heat pump,255,0.07742222625146203
2030,Cyprus,Heat pump,263,0.14471698401137498
2030,Cyprus,Heat pump,328,0.1453098146326227
2030,Cyprus,Heat pump,345,0.13323129728893576
2030,Cyprus,Heat pump,431,0.00011747877344430047
2030,Czechia,Boiler,0,0.0020429847123345363
2030,Czechia,Boiler,21,0.003558219420058436
2030,Czechia,Boiler,32,0.6891341452371376
2030,Czechia,Boiler,77,0.37556383611555333
