spore,importing_region,exporting_region,grid_transfer_capacity
4,Hungary,Romania,3.9689567066435996
4,Hungary,Serbia,8.622806582736901
4,Hungary,Slovakia,25.005380047492
4,Hungary,Slovenia,10.9456754526555
4,Iceland,United Kingdom,18.9878350314065
4,Ireland,France,27.999786659176102
4,Ireland,United Kingdom,7.456475267277
4,Italy,Austria,5.189446751056099
4,Italy,France,7.7000076859324
4,Italy,Greece,1.0000000936933
4,Italy,Montenegro,2.3306072094854997
4,Italy,Slovenia,32.0027513811494
4,Italy,Switzerland,8.500004593058
4,Latvia,Estonia,1.2830030778433998
4,Latvia,Lithuania,1.8610083626393001
